Sample	Library_Flowcell_Lane	Raw reads	Raw data	Effective(%)	Error(%)	Q20(%)	Q30(%)	GC(%)
DNA1_4	EKDN240030121-1A_HCGKLDSXC_L1	89698124	13.5	98.14	0.03	96.48	90.97	37.06
DNA1_5	EKDN240030122-1A_HCGKLDSXC_L1	76752052	11.5	98.41	0.03	96.98	92.06	36.02
DNA5_1	EKDN240030123-1A_HCGKLDSXC_L1	101626492	15.2	97.35	0.03	97.13	92.40	36.42
DNA10_3	EKDN240030124-1A_HCGKLDSXC_L1	62379192	9.4	98.73	0.03	97.29	92.65	40.86
DNA10_4	EKDN240030125-1A_HCGKLDSXC_L1	54967590	8.2	98.45	0.03	97.26	92.63	38.32
DNA10_5	EKDN240030126-1A_HCGKLDSXC_L1	95791766	14.4	98.41	0.03	96.86	91.79	36.60
DNA19_2	EKDN240030127-1A_HCGKLDSXC_L1	90680074	13.6	98.87	0.03	97.23	92.52	37.71
DNA19_3	EKDN240030128-1A_HCGKLDSXC_L1	77867084	11.7	99.05	0.03	97.40	92.79	37.81
DNA19_4	EKDN240030129-1A_HCGKLDSXC_L1	77123106	11.6	98.08	0.03	97.30	92.72	37.00
DNA22_1	EKDN240030130-1A_HCGKLDSXC_L1	78700640	11.8	97.88	0.03	96.93	92.00	37.19
DNA22_2	EKDN240030131-1A_HCGKLDSXC_L1	70493224	10.6	98.34	0.03	97.41	92.91	36.02
DNA25_1	EKDN240030132-1A_HCGKLDSXC_L1	8625008	1.3	98.06	0.03	97.43	92.98	38.33
DNA25_2	EKDN240030133-1A_HCGKLDSXC_L1	75826686	11.4	98.20	0.03	97.25	92.64	36.86
DNA27_5	EKDN240030134-1A_HCGKLDSXC_L1	80682412	12.1	97.15	0.03	97.29	92.84	37.54
DNA28_1	EKDN240030135-1A_HCGKLDSXC_L1	84522174	12.7	98.37	0.03	97.83	93.79	38.60
DNA30_4	EKDN240030136-1A_HCGKLDSXC_L1	81031926	12.2	96.08	0.03	96.79	92.06	36.95
DNA30_5	EKDN240030137-1A_HCGKLDSXC_L1	146835942	22.0	97.06	0.03	97.25	92.85	38.18
DNA35_2	EKDN240030138-1A_HCGKLDSXC_L1	84704140	12.7	96.96	0.03	97.18	92.62	36.24
DNA35_3	EKDN240030139-1A_HCGKLDSXC_L1	74502182	11.2	96.58	0.03	96.77	91.86	36.57
DNA35_4	EKDN240030140-1A_HCGKLDSXC_L1	87239706	13.1	96.80	0.03	96.94	92.13	35.08
DNA37_3	EKDN240030191-1A_HCGKLDSXC_L2	89734976	13.5	98.58	0.03	97.10	92.29	35.46
DNA40_1	EKDN240030192-1A_HCGCHDSXC_L1	24676704	16.1	98.30	0.03	97.10	92.54	39.33
DNA40_1	EKDN240030192-1A_HCGKLDSXC_L2	82391354		98.32	0.03	97.42	92.98	39.52
DNA41_3	EKDN240030193-1A_HCGKLDSXC_L2	45942088	6.9	95.03	0.03	97.14	92.59	40.78
DNA42_2	EKDN240030194-1A_HCGKLDSXC_L2	77475176	16.7	98.19	0.03	97.14	92.45	39.36
DNA42_2	EKDN240030194-1A_HCGCHDSXC_L1	33896150		98.17	0.03	96.79	91.98	39.21
DNA52_2	EKDN240030196-1A_HCGKLDSXC_L2	94618424	14.2	97.80	0.03	97.04	92.30	38.85
DNA56_3	EKDN240030197-1A_HCGKLDSXC_L2	89533480	13.4	97.87	0.03	97.28	92.79	39.50
DNA57_3	EKDN240030198-1A_HCGKLDSXC_L2	82375370	12.4	98.49	0.03	97.57	93.18	35.74
DNA59_3	EKDN240030199-1A_HCGKLDSXC_L2	91002844	13.7	98.07	0.03	97.45	92.96	37.45
DNA61_3	EKDN240030200-1A_HCGKLDSXC_L2	99946918	15.0	97.73	0.03	97.34	92.89	40.15
DNA1_1	EKDN240030097-1A_HCGNJDSXC_L1	85587082	12.8	98.93	0.03	97.25	92.60	40.85
DNA1_2	EKDN240030098-1A_HCGNJDSXC_L1	98579644	14.8	98.70	0.03	96.93	92.09	42.93
DNA5_5	EKDN240030099-1A_HCGNJDSXC_L1	86919330	13.0	98.11	0.03	96.73	91.60	37.15
DNA10_1	EKDN240030100-1A_HCGNJDSXC_L1	90230826	13.5	98.37	0.03	96.57	91.40	40.52
DNA10_2	EKDN240030101-1A_HCGCHDSXC_L2	19918324	16.4	98.82	0.03	97.07	92.66	40.83
DNA10_2	EKDN240030101-1A_HCGNJDSXC_L1	89547368		98.75	0.03	96.81	91.80	40.88
DNA13_4	EKDN240030102-1A_HCGNJDSXC_L1	103404250	15.5	98.67	0.03	97.09	92.35	40.07
DNA13_5	EKDN240030103-1A_HCGNJDSXC_L1	76871406	11.5	98.24	0.03	96.76	91.61	36.13
DNA19_1	EKDN240030104-1A_HCGNJDSXC_L1	96030478	14.4	98.53	0.03	96.86	91.87	39.24
DNA24_3	EKDN240030105-1A_HCGNJDSXC_L1	83285700	12.5	98.44	0.03	96.77	91.91	47.39
DNA24_4	EKDN240030106-1A_HCGNJDSXC_L1	92713398	13.9	98.53	0.03	96.93	91.99	38.10
DNA24_5	EKDN240030107-1A_HCGNJDSXC_L1	104537774	15.7	97.64	0.03	96.48	91.17	35.21
DNA27_2	EKDN240030108-1A_HCGNJDSXC_L1	94701370	14.2	98.95	0.03	97.06	92.17	36.46
DNA27_3	EKDN240030109-1A_HCGNJDSXC_L3	31328476	4.7	98.12	0.03	96.66	91.59	38.81
DNA27_4	EKDN240030110-1A_HCGNJDSXC_L3	94217012	14.1	98.27	0.03	97.20	92.61	37.66
DNA30_1	EKDN240030111-1A_HCGNJDSXC_L3	103135922	15.5	98.56	0.03	96.84	91.81	38.78
DNA30_2	EKDN240030112-1A_HCGNJDSXC_L1	121986276	18.3	98.30	0.03	96.80	91.88	39.40
DNA30_3	EKDN240030113-1A_HCGNJDSXC_L3	88930230	13.3	98.75	0.03	97.18	92.49	36.47
DNA39_1	EKDN240030141-1A_HCGNJDSXC_L3	104777344	15.7	98.63	0.03	96.67	91.49	36.89
DNA39_2	EKDN240030142-1A_HCGNJDSXC_L3	103046774	15.5	99.13	0.03	97.29	92.64	35.97
DNA39_3	EKDN240030143-1A_HCGNJDSXC_L3	94630254	14.2	98.15	0.03	96.82	91.89	36.63
DNA40_5	EKDN240030144-1A_HCGNJDSXC_L3	114167750	17.1	98.93	0.03	97.06	92.18	36.54
DNA1_3	EKDN240030145-1A_HCGNJDSXC_L3	110686640	16.6	99.01	0.03	96.93	91.95	41.20
DNA22_3	EKDN240030146-1A_HCGNJDSXC_L3	95735282	15.5	98.45	0.03	96.65	91.59	39.19
DNA22_3	EKDN240030146-1A_HCGCHDSXC_L2	7744532		98.51	0.03	96.93	92.44	39.13
DNA25_3	EKDN240030147-1A_HCGNJDSXC_L3	52504422	7.9	99.14	0.03	96.98	92.09	42.82
DNA28_2	EKDN240030148-1A_HCGCHDSXC_L2	9433362	15.6	99.35	0.03	97.55	93.46	39.22
DNA28_2	EKDN240030148-1A_HCGNJDSXC_L3	94329268		99.28	0.03	97.21	92.48	39.27
DNA35_5	EKDN240030149-1A_HCGNJDSXC_L3	103750416	15.6	98.86	0.03	97.37	92.87	37.13
DNA39_4	EKDN240030150-1A_HCGNJDSXC_L3	101314706	15.2	99.09	0.03	97.00	92.14	41.93
DNA56_1	EKDN240030153-1A_HCGNJDSXC_L3	120217292	18.0	98.76	0.03	97.09	92.38	40.79
DNA61_1	EKDN240030154-1A_HCGNJDSXC_L3	98812706	14.8	98.97	0.03	97.23	92.53	37.64
DNA67_1	EKDN240030158-1A_HCGNJDSXC_L3	97950464	14.7	98.64	0.03	96.97	92.00	36.60
DNA68_1	EKDN240030159-1A_HCGNJDSXC_L3	95368948	14.3	98.47	0.03	97.11	92.40	43.01
DNA69_1	EKDN240030160-1A_HCGNJDSXC_L3	97465950	16.4	98.56	0.03	96.71	91.65	41.14
DNA69_1	EKDN240030160-1A_HCGCHDSXC_L2	12002926		98.60	0.03	96.97	92.45	41.08
DNA5_3	EKDN240030161-1A_HCGCHDSXC_L2	33589734	17.4	98.14	0.03	97.15	92.69	32.67
DNA5_3	EKDN240030161-1A_HCGNJDSXC_L3	82344598		98.03	0.03	96.90	91.86	32.74
DNA13_2	EKDN240030162-1A_HCGCHDSXC_L2	48548112	18.7	99.18	0.03	97.46	93.23	35.48
DNA13_2	EKDN240030162-1A_HCGNJDSXC_L3	75816956		99.11	0.03	97.11	92.23	35.54
DNA22_4	EKDN240030163-1A_HCGNJDSXC_L3	85561804	17.0	98.88	0.03	97.15	92.40	35.88
DNA22_4	EKDN240030163-1A_HCGCHDSXC_L2	27594706		98.91	0.03	97.37	93.16	35.84
DNA25_4	EKDN240030164-1A_HCGNJDSXC_L3	89309392	16.6	98.32	0.03	96.75	91.58	30.38
DNA25_4	EKDN240030164-1A_HCGCHDSXC_L2	21143436		98.39	0.03	97.03	92.46	30.31
DNA28_3	EKDN240030165-1A_HCGCHDSXC_L2	64618348	19.6	99.05	0.03	97.32	92.93	34.22
DNA28_3	EKDN240030165-1A_HCGNJDSXC_L3	65890590		99.01	0.03	97.03	92.03	34.26
DNA32_2	EKDN240030166-1A_HCGNJDSXC_L3	48634432	7.3	98.67	0.03	96.95	91.90	32.67
DNA37_2	EKDN240030167-1A_HCGNJDSXC_L3	78870978	17.4	98.68	0.03	96.55	91.16	33.63
DNA37_2	EKDN240030167-1A_HCGCHDSXC_L2	37405494		98.71	0.03	96.88	92.10	33.53
DNA39_5	EKDN240030168-1A_HCGCHDSXC_L2	7736548	15.5	99.18	0.03	97.31	92.92	35.54
DNA39_5	EKDN240030168-1A_HCGNJDSXC_L3	95818880		99.12	0.03	96.97	91.94	35.62
DNA42_1	EKDN240030170-1A_HCGNJDSXC_L3	91922596	13.8	99.02	0.03	96.84	91.77	37.14
DNA47_2	EKDN240030171-1A_HCGNJDSXC_L3	59036908	8.9	99.10	0.03	97.02	91.86	27.98
DNA52_1	EKDN240030172-1A_HCGCHDSXC_L2	20879152	16.5	98.27	0.03	97.35	93.07	38.25
DNA52_1	EKDN240030172-1A_HCGNJDSXC_L3	88820568		98.12	0.03	96.81	91.69	38.31
DNA56_2	EKDN240030173-1A_HCGNJDSXC_L3	97274238	16.3	98.35	0.03	96.83	91.87	40.23
DNA56_2	EKDN240030173-1A_HCGCHDSXC_L2	11461666		98.43	0.03	97.12	92.76	40.17
DNA57_2	EKDN240030174-1A_HCGNJDSXC_L3	102764254	15.4	98.42	0.03	97.30	92.69	37.59
DNA59_2	EKDN240030175-1A_HCGCHDSXC_L2	35556566	17.6	98.97	0.03	97.62	93.63	38.08
DNA59_2	EKDN240030175-1A_HCGNJDSXC_L3	81612834		98.88	0.03	97.38	92.83	38.14
DNA61_2	EKDN240030176-1A_HCGNJDSXC_L3	88855450	13.3	98.86	0.03	97.38	92.85	38.72
DNA63_2	EKDN240030178-1A_HCGNJDSXC_L3	111558390	16.7	98.24	0.03	96.73	91.73	42.61
DNA66_2	EKDN240030181-1A_HCGNJDSXC_L3	52393710	7.9	96.32	0.03	97.09	92.49	42.63
DNA67_2	EKDN240030182-1A_HCGNJDSXC_L3	108149462	16.2	99.09	0.03	97.57	93.20	38.83
DNA68_2	EKDN240030183-1A_HCGCHDSXC_L2	15912004	16.2	98.80	0.03	97.86	94.10	40.49
